ID_ELEVE,GENRE,AGE,NIVEAU,ID_PARENT
E00001,f,15,4ème,P1909
E00002,m,15,Terminale,P3321
E00003,f,15,CM2,P4293
E00004,m,15,3ème,P0930
E00005,m,14,6ème,P1096
E00006,m,15,6ème,P3448
E00007,m,13,5ème,P2631
E00008,f,15,5ème,P4133
E00009,f,14,1ère,P0934
E00010,m,10,2nde,P1877
E00011,m,15,1ère,P1366
E00012,f,12,CM2,P0773
E00013,m,11,4ème,P0355
E00014,f,10,3ème,P1509
E00015,f,14,CM1,P4387
E00016,f,11,CM1,P1723
E00017,f,10,6ème,P1493
E00018,m,10,1ère,P3273
E00019,f,8,CM1,P2288
E00020,m,10,6ème,P1344
E00021,f,13,3ème,P3753
E00022,m,15,CM1,P4646
E00023,f,12,2nde,P2410
E00024,m,14,5ème,P0830
E00025,m,12,3ème,P3545
E00026,f,13,Terminale,P3023
E00027,m,10,5ème,P4486
E00028,m,12,CM2,P3716
E00029,f,8,CM2,P3562
E00030,f,15,1ère,P2974
E00031,m,11,3ème,P0006
E00032,m,15,5ème,P1047
E00033,f,12,5ème,P3227
E00034,f,11,4ème,P2425
E00035,m,13,4ème,P0383
E00036,f,15,5ème,P3841
E00037,m,11,2nde,P4958
E00038,m,8,5ème,P1658
E00039,f,12,4ème,P4571
E00040,f,8,5ème,P4746
E00041,m,10,4ème,P4694
E00042,f,8,1ère,P3164
E00043,m,14,4ème,P2668
E00044,m,10,3ème,P2430
E00045,f,9,CM1,P4544
E00046,f,9,Terminale,P4637
E00047,f,13,4ème,P2725
E00048,m,11,1ère,P3781
E00049,m,12,1ère,P3665
E00050,f,10,1ère,P0080
E00051,f,10,CM1,P0958
E00052,f,11,3ème,P2526
E00053,f,14,CM2,P4509
E00054,f,13,Terminale,P0312
E00055,f,15,CM1,P4756
E00056,m,14,CM2,P2327
E00057,f,15,6ème,P4016
E00058,m,10,Terminale,P1522
E00059,f,12,CM1,P2031
E00060,m,15,CM2,P1678
E00061,f,9,5ème,P4126
E00062,f,15,CM1,P0374
E00063,f,13,CM1,P2370
E00064,m,11,3ème,P2191
E00065,f,15,Terminale,P4007
E00066,f,13,4ème,P0463
E00067,f,13,6ème,P2031
E00068,f,11,4ème,P0753
E00069,f,11,3ème,P2860
E00070,f,8,CM2,P3126
E00071,f,8,CM2,P2559
E00072,f,8,2nde,P2100
E00073,m,9,1ère,P3737
E00074,f,10,CM2,P3054
E00075,f,12,4ème,P2944
E00076,f,15,CM1,P0877
E00077,m,11,2nde,P2592
E00078,m,14,6ème,P4823
E00079,f,11,1ère,P0592
E00080,m,14,1ère,P0352
E00081,f,9,Terminale,P1039
E00082,f,13,CM1,P2872
E00083,m,10,4ème,P2178
E00084,f,14,Terminale,P4889
E00085,f,15,3ème,P2670
E00086,f,14,Terminale,P2517
E00087,f,12,4ème,P1468
E00088,f,13,CM2,P2478
E00089,m,11,3ème,P4849
E00090,m,8,Terminale,P0878
E00091,f,12,CM1,P1589
E00092,f,13,2nde,P0490
E00093,m,8,5ème,P1929
E00094,m,14,5ème,P3875
E00095,m,10,5ème,P3578
E00096,f,12,4ème,P3771
E00097,f,14,2nde,P2664
E00098,f,8,3ème,P4109
E00099,m,9,CM2,P1976
E00100,f,9,Terminale,P2155
E00101,m,9,Terminale,P4367
E00102,m,10,6ème,P0033
E00103,f,10,2nde,P3503
E00104,m,15,CM1,P0703
E00105,m,12,5ème,P4981
E00106,f,9,Terminale,P2290
E00107,m,12,3ème,P1317
E00108,m,13,4ème,P0726
E00109,m,13,6ème,P2106
E00110,f,10,Terminale,P2390
E00111,f,14,1ère,P1558
E00112,f,12,CM2,P2826
E00113,f,9,1ère,P1215
E00114,m,9,5ème,P3440
E00115,m,14,Terminale,P2426
E00116,m,11,1ère,P1910
E00117,m,11,CM2,P3643
E00118,f,14,2nde,P3477
E00119,f,12,4ème,P3615
E00120,m,13,3ème,P0295
E00121,m,8,CM2,P1333
E00122,f,12,CM1,P0619
E00123,f,8,1ère,P3898
E00124,m,13,5ème,P4958
E00125,f,9,Terminale,P4393
E00126,f,12,4ème,P3838
E00127,f,8,4ème,P0707
E00128,f,8,1ère,P2964
E00129,m,14,2nde,P0214
E00130,f,9,1ère,P0291
E00131,f,11,3ème,P0527
E00132,m,15,CM2,P4773
E00133,m,8,5ème,P2836
E00134,m,10,4ème,P2539
E00135,f,14,CM1,P4502
E00136,m,11,2nde,P0743
E00137,m,13,4ème,P2430
E00138,f,9,4ème,P2281
E00139,f,15,6ème,P1519
E00140,f,14,3ème,P0081
E00141,f,14,6ème,P2794
E00142,f,11,Terminale,P3002
E00143,f,8,1ère,P3708
E00144,m,15,6ème,P0011
E00145,m,10,5ème,P3346
E00146,f,9,6ème,P1048
E00147,f,13,5ème,P3814
E00148,f,14,CM1,P4573
E00149,m,9,CM1,P3633
E00150,f,15,6ème,P1549
E00151,m,10,CM1,P2855
E00152,f,8,CM1,P2697
E00153,f,15,2nde,P1721
E00154,f,11,6ème,P3023
E00155,f,15,Terminale,P0495
E00156,f,12,3ème,P0434
E00157,f,8,CM2,P1170
E00158,m,8,5ème,P4621
E00159,m,15,CM1,P0932
E00160,m,11,CM2,P2175
E00161,m,8,6ème,P3551
E00162,f,13,1ère,P1768
E00163,m,15,4ème,P1143
E00164,f,9,6ème,P0589
E00165,m,12,CM2,P3997
E00166,m,13,5ème,P3587
E00167,m,14,CM2,P2241
E00168,m,10,3ème,P4672
E00169,f,15,6ème,P3227
E00170,m,15,2nde,P0955
E00171,m,14,3ème,P2139
E00172,f,11,6ème,P4274
E00173,m,13,3ème,P4162
E00174,m,12,Terminale,P2007
E00175,f,12,1ère,P1005
E00176,m,9,3ème,P4925
E00177,f,15,4ème,P1113
E00178,f,10,4ème,P2174
E00179,m,12,Terminale,P3994
E00180,m,11,3ème,P1975
E00181,m,8,6ème,P2083
E00182,m,15,6ème,P0068
E00183,m,10,1ère,P4512
E00184,f,8,CM1,P1228
E00185,f,13,CM1,P0410
E00186,m,15,5ème,P3404
E00187,f,15,1ère,P2220
E00188,m,11,CM2,P4784
E00189,m,11,2nde,P4166
E00190,m,10,2nde,P3622
E00191,m,8,4ème,P2825
E00192,m,8,CM1,P1563
E00193,f,10,1ère,P1520
E00194,m,14,2nde,P2387
E00195,f,12,1ère,P3696
E00196,f,9,6ème,P0903
E00197,m,12,Terminale,P1189
E00198,m,12,4ème,P3893
E00199,m,12,2nde,P0580
E00200,f,11,3ème,P4529
E00201,m,11,1ère,P3365
E00202,m,11,CM2,P1964
E00203,f,15,6ème,P2589
E00204,m,12,3ème,P3884
E00205,m,10,4ème,P1253
E00206,m,11,4ème,P2507
E00207,m,9,4ème,P1146
E00208,m,14,3ème,P2671
E00209,m,11,5ème,P0342
E00210,f,11,5ème,P4677
E00211,f,11,5ème,P3485
E00212,f,12,5ème,P4944
E00213,f,13,4ème,P1887
E00214,m,12,6ème,P4622
E00215,f,15,1ère,P1142
E00216,f,12,4ème,P0089
E00217,m,13,3ème,P2021
E00218,m,15,CM1,P1181
E00219,f,10,4ème,P4789
E00220,m,14,CM1,P4539
E00221,m,10,4ème,P0215
E00222,f,12,CM1,P1385
E00223,f,8,Terminale,P3272
E00224,f,14,CM2,P3821
E00225,m,15,3ème,P0438
E00226,m,10,4ème,P2056
E00227,m,13,6ème,P2288
E00228,f,9,6ème,P3897
E00229,m,9,4ème,P2933
E00230,m,9,6ème,P0314
E00231,f,15,2nde,P4775
